iter	Logloss
0	0.6896712262
1	0.6863057095
2	0.6826515198
3	0.6793785924
4	0.6758769077
5	0.6724828637
6	0.6694173398
7	0.6660097371
8	0.6624212265
9	0.6593989497
10	0.6564026294
11	0.6532943974
12	0.6504824265
13	0.6472687929
14	0.6442876484
15	0.6413568828
16	0.63889773
17	0.6363373632
18	0.6332184335
19	0.6308255403
20	0.6281379617
21	0.6252296697
22	0.6229433806
23	0.6202901757
24	0.6177331676
25	0.6155859906
26	0.6131702921
27	0.6110549595
28	0.6089143753
29	0.6068411288
30	0.6048109635
31	0.6023219565
32	0.5998693964
33	0.5974964474
34	0.5952539444
35	0.5929673236
36	0.5904763678
37	0.5883320518
38	0.5860360187
39	0.5840124047
40	0.5817478014
41	0.5800103727
42	0.5775527954
43	0.5757700049
44	0.5733466356
45	0.5714827413
46	0.5697871084
47	0.5678444738
48	0.5660257754
49	0.5638559176
50	0.5617563414
51	0.5596935438
52	0.5576238218
53	0.5562535162
54	0.5542898593
55	0.5526724276
56	0.5509907266
57	0.5491125687
58	0.547088084
59	0.5453447259
60	0.5438758187
61	0.5421162896
62	0.5405377098
63	0.5393640269
64	0.5377289316
65	0.5363601187
66	0.5348727185
67	0.5329637113
68	0.531373563
69	0.5295375326
70	0.5280795305
71	0.5269408433
72	0.5252118318
73	0.5239193958
74	0.5224860647
75	0.5211368644
76	0.5199861526
77	0.5184118022
78	0.5171771671
79	0.5160019087
80	0.5145007009
81	0.5132401922
82	0.512153584
83	0.5107996982
84	0.5096453791
85	0.5082606855
86	0.5068031809
87	0.5059628694
88	0.5046980485
89	0.5038778886
90	0.5030137352
91	0.5017134625
92	0.5005769315
93	0.4994125366
94	0.4982843399
95	0.4971210646
96	0.4957942133
97	0.494696161
98	0.493642807
99	0.4924593801
100	0.4916145491
101	0.4905671659
102	0.4893826194
103	0.4888819819
104	0.4877359971
105	0.4864390829
106	0.4857629693
107	0.4847148812
108	0.4836231729
109	0.4824745344
110	0.4812551996
111	0.4802749468
112	0.4793661366
113	0.4782281959
114	0.4772829802
115	0.4766396232
116	0.4755069069
117	0.4748895479
118	0.4743790005
119	0.4734775709
120	0.4728934661
121	0.4716361087
122	0.471214253
123	0.4703454142
124	0.4692909821
125	0.4683373493
126	0.467291749
127	0.4666130232
128	0.4656255142
129	0.4646414881
130	0.4637660151
131	0.4629673336
132	0.4622494241
133	0.4615980646
134	0.4611400107
135	0.4601304842
136	0.4594795808
137	0.4586493451
